id,region,nodes,osmids,count
744,58,64,28,12
745,58,65,1106,12
746,58,1059,593,12
747,58,1060,1192,12
748,58,1061,594,12
749,58,1383,1905,12
750,58,1776,2033,12
751,58,1850,2404,12
752,58,2226,1618,12
753,58,2228,1642,12
754,58,2229,2408,12
755,59,74,33,16
756,59,75,2262,16
757,59,76,599,16
758,59,150,72,16
759,59,153,74,16
760,59,154,2114,16
761,59,1067,598,16
762,59,1068,597,16
763,59,1856,1225,16
764,59,1883,2170,16
765,59,2406,1938,16
766,59,2407,1939,16
767,59,2408,2491,16
768,59,2461,2379,16
769,59,2472,2169,16
770,59,2473,2427,16
771,60,155,76,12
772,60,156,81,12
773,60,159,77,12
774,60,160,78,12
775,60,161,349,12
776,60,162,1670,12
777,60,163,1533,12
778,60,164,79,12
779,60,165,1606,12
780,60,166,80,12
781,60,662,350,12
782,60,2176,1534,12
783,61,785,425,12
784,61,786,1849,12
785,61,947,514,12
786,61,948,1626,12
787,61,949,1126,12
788,61,984,1181,12
789,61,1793,1124,12
790,61,1795,1125,12
791,61,1796,1148,12
792,61,1797,1182,12
793,61,1808,1185,12
794,61,1846,1183,12
795,62,657,347,12
796,62,658,2107,12
797,62,659,521,12
798,62,795,520,12
799,62,851,458,12
800,62,852,459,12
801,62,857,465,12
802,62,858,464,12
803,62,860,466,12
804,62,862,533,12
805,62,958,1893,12
806,62,973,534,12
807,63,660,348,12
808,63,827,442,12
809,63,830,447,12
810,63,835,446,12
811,63,836,1610,12
812,63,859,2108,12
813,63,974,531,12
814,63,975,1607,12
815,63,977,2088,12
816,63,2218,1608,12
817,63,2219,1609,12
818,63,2456,2089,12
819,64,2175,1682,13
820,64,2277,1675,13
821,64,2278,1676,13
822,64,2279,1683,13
823,64,2280,1677,13
824,64,2281,2110,13
825,64,2282,1678,13
826,64,2285,1685,13
827,64,2286,1684,13
828,64,2287,1981,13
829,64,2288,1690,13
830,64,2415,2066,13
831,64,2416,1988,13
832,65,833,2120,12
833,65,2270,1673,12
834,65,2271,2113,12
835,65,2272,1680,12
836,65,2273,1967,12
837,65,2274,1674,12
838,65,2275,2121,12
839,65,2276,1679,12
840,65,2283,2122,12
841,65,2284,2046,12
842,65,2289,1980,12
843,65,2418,1989,12
844,66,807,435,12
845,66,808,579,12
846,66,809,1689,12
847,66,810,1115,12
848,66,811,436,12
849,66,812,1173,12
850,66,814,437,12
851,66,1042,2534,12
852,66,1043,580,12
853,66,1788,1116,12
854,66,1789,1117,12
855,66,1790,1681,12
856,67,803,434,12
857,67,806,1172,12
858,67,813,2535,12
859,67,816,438,12
860,67,817,2260,12
861,67,818,439,12
862,67,819,1171,12
863,67,820,2086,12
864,67,821,440,12
865,67,822,2091,12
866,67,1791,1120,12
867,67,2419,1991,12
868,68,804,2071,12
869,68,805,1119,12
870,68,1044,581,12
871,68,1045,1952,12
872,68,1046,583,12
873,68,1047,582,12
874,68,1048,1163,12
875,68,1786,1114,12
876,68,1787,1118,12
877,68,2412,2112,12
878,68,2459,2111,12
879,68,2460,2239,12
880,69,802,1111,15
881,69,1782,1113,15
882,69,1783,1112,15
883,69,1784,1159,15
884,69,1785,1161,15
885,69,1792,1121,15
886,69,1833,1169,15
887,69,1834,1160,15
888,69,1835,1162,15
889,69,1836,1164,15
890,69,1837,1168,15
891,69,1838,2031,15
892,69,1839,2275,15
893,69,1840,1165,15
894,69,1843,1170,15
895,70,815,445,12
896,70,823,441,12
897,70,824,1174,12
898,70,825,522,12
899,70,826,1175,12
900,70,828,2063,12
901,70,829,443,12
902,70,831,1992,12
903,70,832,444,12
904,70,834,2009,12
905,70,1844,2388,12
906,70,2420,1994,12
907,71,661,2090,12
908,71,837,448,12
909,71,838,2345,12
910,71,839,449,12
911,71,840,450,12
912,71,841,451,12
913,71,842,452,12
914,71,845,460,12
915,71,854,461,12
916,71,855,462,12
917,71,856,463,12
918,71,976,2241,12
919,72,794,428,13
920,72,796,430,13
921,72,797,538,13
922,72,798,429,13
923,72,861,467,13
924,72,863,532,13
925,72,865,2145,13
926,72,866,468,13
927,72,867,469,13
928,72,868,470,13
929,72,869,471,13
930,72,870,472,13
931,72,985,1268,13
932,73,843,453,12
933,73,844,454,12
934,73,846,455,12
935,73,847,523,12
936,73,848,536,12
937,73,849,456,12
938,73,850,457,12
939,73,853,530,12
940,73,959,524,12
941,73,960,1189,12
942,73,961,525,12
943,73,962,2253,12
944,74,1807,1133,12
945,74,1809,1144,12
946,74,1810,1134,12
947,74,1811,1135,12
948,74,1812,1136,12
949,74,1813,1137,12
950,74,1814,1138,12
951,74,1815,2297,12
952,74,1816,1139,12
953,74,1817,1150,12
954,74,1827,1145,12
955,74,1828,1146,12
956,75,978,537,12
957,75,983,1149,12
958,75,1800,1129,12
959,75,1802,1130,12
960,75,1803,2150,12
961,75,1804,2186,12
962,75,1805,1131,12
963,75,1806,1132,12
964,75,1829,1147,12
965,75,1847,1186,12
966,75,1848,1187,12
967,75,1849,1188,12
968,76,774,420,12
969,76,776,2014,12
970,76,780,422,12
971,76,781,2125,12
972,76,782,423,12
973,76,783,424,12
974,76,784,2435,12
975,76,2237,2055,12
976,76,2362,2056,12
977,76,2426,2294,12
978,76,2465,2187,12
979,76,2477,2292,12
980,77,610,326,14
981,77,611,2247,14
982,77,612,1494,14
983,77,613,327,14
984,77,764,2256,14
985,77,775,2276,14
986,77,777,421,14
987,77,778,1957,14
988,77,779,2580,14
989,77,788,426,14
990,77,789,1960,14
991,77,793,2277,14
992,77,2400,1917,14
993,77,2491,2411,14
994,78,517,274,12
995,78,519,275,12
996,78,520,431,12
997,78,521,1122,12
998,78,522,486,12
999,78,523,276,12
1000,78,745,399,12
1001,78,799,433,12
1002,78,800,432,12
1003,78,903,1832,12
1004,78,904,1848,12
1005,78,2365,1847,12
1006,79,743,398,13
1007,79,744,1157,13
1008,79,769,418,13
1009,79,771,419,13
1010,79,772,507,13
1011,79,773,1179,13
1012,79,792,1156,13
1013,79,801,512,13
1014,79,902,1158,13
1015,79,942,509,13
1016,79,943,508,13
1017,79,944,510,13
1018,79,945,511,13
1019,80,701,2116,12
1020,80,738,395,12
1021,80,742,405,12
1022,80,747,401,12
1023,80,748,404,12
1024,80,749,402,12
1025,80,750,2118,12
1026,80,752,413,12
1027,80,765,414,12
1028,80,766,1864,12
1029,80,767,416,12
1030,80,768,415,12
1031,81,583,309,12
1032,81,584,2255,12
1033,81,699,368,12
1034,81,700,369,12
1035,81,702,1875,12
1036,81,704,2183,12
1037,81,706,2011,12
1038,81,730,1862,12
1039,81,732,392,12
1040,81,733,1204,12
1041,81,734,393,12
1042,81,2425,2551,12
1043,82,514,273,12
1044,82,515,409,12
1045,82,516,1633,12
1046,82,518,397,12
1047,82,739,1177,12
1048,82,740,396,12
1049,82,741,1488,12
1050,82,751,403,12
1051,82,761,1154,12
1052,82,790,427,12
1053,82,791,1155,12
1054,82,1845,1611,12
1055,83,754,1100,12
1056,83,756,407,12
1057,83,757,1099,12
1058,83,758,2257,12
1059,83,770,417,12
1060,83,1741,1069,12
1061,83,1766,1095,12
1062,83,1767,2095,12
1063,83,1768,1964,12
1064,83,1769,1096,12
1065,83,1770,1097,12
1066,83,1771,1098,12
1067,84,1724,1071,12
1068,84,1725,1080,12
1069,84,1726,1064,12
1070,84,1729,1073,12
1071,84,1742,1072,12
1072,84,1743,1079,12
1073,84,1744,1932,12
1074,84,1745,1088,12
1075,84,1754,1093,12
1076,84,1755,1691,12
1077,84,1762,1092,12
1078,84,1765,1094,12
1079,85,1734,1067,12
1080,85,1735,1925,12
1081,85,1736,2572,12
1082,85,1737,1068,12
1083,85,1738,2003,12
1084,85,1739,1089,12
1085,85,1740,2039,12
1086,85,1753,1863,12
1087,85,1763,2002,12
1088,85,1764,1090,12
1089,85,2421,2204,12
1090,85,2439,2040,12
1091,86,1732,1081,12
1092,86,1733,1999,12
1093,86,1746,1074,12
1094,86,1747,1075,12
1095,86,1748,1082,12
1096,86,1750,1076,12
1097,86,1751,1077,12
1098,86,1752,1078,12
1099,86,1756,1091,12
1100,86,1757,1603,12
1101,86,2216,1950,12
1102,86,2217,1958,12
1103,87,483,259,12
1104,87,486,1634,12
1105,87,487,260,12
1106,87,488,1487,12
1107,87,489,261,12
1108,87,490,321,12
1109,87,491,262,12
1110,87,601,1252,12
1111,87,602,390,12
1112,87,726,387,12
1113,87,727,388,12
1114,87,728,389,12
1115,88,1727,1086,14
1116,88,1728,1065,14
1117,88,1730,1085,14
1118,88,1731,1066,14
1119,88,1749,1084,14
1120,88,1758,1083,14
1121,88,1759,1087,14
1122,88,1760,1103,14
1123,88,1761,2525,14
1124,88,1773,2529,14
1125,88,2571,2527,14
1126,88,2572,2526,14
1127,88,2573,2576,14
1128,88,2574,2528,14
1129,89,484,383,12
1130,89,485,266,12
1131,89,492,2238,12
1132,89,493,263,12
1133,89,494,2047,12
1134,89,495,264,12
1135,89,496,1845,12
1136,89,497,384,12
1137,89,498,265,12
1138,89,499,267,12
1139,89,500,386,12
1140,89,1774,2094,12
1141,90,703,370,12
1142,90,705,371,12
1143,90,707,391,12
1144,90,708,1062,12
1145,90,709,410,12
1146,90,729,1568,12
1147,90,731,2244,12
1148,90,753,406,12
1149,90,755,1070,12
1150,90,759,408,12
1151,90,760,2074,12
1152,90,1723,1063,12
1153,91,511,272,15
1154,91,512,2123,15
1155,91,513,1178,15
1156,91,585,310,15
1157,91,586,311,15
1158,91,587,400,15
1159,91,588,2243,15
1160,91,735,1972,15
1161,91,736,394,15
1162,91,737,1176,15
1163,91,746,1865,15
1164,91,762,411,15
1165,91,763,412,15
1166,91,2462,2117,15
1167,91,2463,2242,15
1168,92,528,1830,16
1169,92,713,2049,16
1170,92,787,2052,16
1171,92,1818,1140,16
1172,92,1819,1141,16
1173,92,1820,2147,16
1174,92,1821,1184,16
1175,92,1822,1142,16
1176,92,1823,2295,16
1177,92,1824,1143,16
1178,92,1825,2001,16
1179,92,1826,2053,16
1180,92,2361,2051,16
1181,92,2440,2048,16
1182,92,2441,2050,16
1183,92,2442,2054,16
1184,93,79,35,13
1185,93,81,1638,13
1186,93,527,278,13
1187,93,530,1368,13
1188,93,710,373,13
1189,93,711,374,13
1190,93,939,1343,13
1191,93,1078,606,13
1192,93,1079,608,13
1193,93,1080,1342,13
1194,93,2021,1789,13
1195,93,2363,1831,13
1196,93,2364,2278,13
1197,94,718,379,16
1198,94,719,586,16
1199,94,720,380,16
1200,94,1049,587,16
1201,94,1050,1723,16
1202,94,1051,1641,16
1203,94,1081,808,16
1204,94,1245,694,16
1205,94,1247,699,16
1206,94,1249,697,16
1207,94,1250,1061,16
1208,94,1251,698,16
1209,94,1416,2273,16
1210,94,1600,939,16
1211,94,1601,1058,16
1212,94,1721,1997,16
1213,95,614,328,17
1214,95,615,356,17
1215,95,616,329,17
1216,95,617,330,17
1217,95,618,1672,17
1218,95,619,358,17
1219,95,620,1923,17
1220,95,623,1688,17
1221,95,672,2393,17
